order_id;account_id;bank_to;account_to;amount;k_symbol
29889;327;OP;86823993;3252.0;SIPO
29890;327;IJ;47999680;3805.0; 
30126;480;KL;12772888;4687.0;SIPO
30127;480;IJ;72983371;827.0;LEASING
30235;560;QR;17489135;5683.0;SIPO
30398;679;OP;91457056;4049.0;SIPO
30399;679;KL;27114582;450.0; 
30400;679;UV;84744864;281.0;POJISTNE
30427;695;CD;38325697;9516.0;SIPO
30578;808;QR;95864551;4492.0;UVER
30898;1024;IJ;50779986;2074.0;SIPO
30965;1075;WX;87197690;3868.0;SIPO
30966;1075;UV;90986024;208.0; 
31165;1205;YZ;8382422;2989.0;SIPO
31776;1616;AB;24604940;2642.0;SIPO
31978;1763;UV;70918726;1146.0;SIPO
31979;1763;QR;52545648;5539.0; 
32217;1924;WX;86879318;1962.0;SIPO
32697;2243;MN;66443806;3890.0;SIPO
32698;2243;YZ;70212971;547.0; 
32945;2405;KL;9480673;6407.0;SIPO
33417;2717;MN;72128897;2271.0;SIPO
34058;3142;MN;52314406;1974.0;SIPO
34059;3142;WX;91892325;1254.0;SIPO
34623;3543;WX;77653699;2094.0;SIPO
34625;3545;OP;99964111;7358.0;SIPO
34889;3727;OP;1811063;6598.0;SIPO
34890;3727;ST;36931669;836.0; 
34891;3727;QR;60296291;1030.0;POJISTNE
37059;5196;YZ;95793395;6652.5;UVER
37060;5196;CD;22101694;7905.0;SIPO
43746;9677;WX;83789282;8944.0;SIPO
43747;9677;AB;25327652;527.0;UVER
